date, time, event_title, link
Jan 2 2018, 7:00 PM, New York Islanders vs. Boston Bruins, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-boston-bruins-2018-01-02
Jan 1 2018, 7:30 PM, Brooklyn Nets vs. Orlando Magic, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-orlando-magic-2018-01-01
Dec 27 2017, 7:00 PM, New York Islanders vs. Buffalo Sabres, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-buffalo-sabres-2017-12-27
Dec 26 2017, 2:00 PM, Harlem Globetrotters, https://www.barclayscenter.com/events/detail/harlem-globetrotters-2017-12-26
Dec 23 2017, 1:00 PM, New York Islanders vs. Winnipeg Jets, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-winnipeg-jets-2017-12-23
Dec 22 2017, 7:30 PM, Brooklyn Nets vs. Washington Wizards, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-washington-wizards-2017-12-22
Dec 21 2017, 7:00 PM, New York Islanders vs. Anaheim Ducks, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-anaheim-ducks-2017-12-21
Dec 20 2017, 7:30 PM, Brooklyn Nets vs. Sacramento Kings, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-sacramento-kings-2017-12-20
Dec 19 2017, 7:00 PM, New York Islanders vs. Detroit Red Wings, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-detroit-red-wings-2017-12-19
Dec 17 2017, 12:00 PM, LIU BROOKLYN VS. ST. PETER’S, https://www.barclayscenter.com/events/detail/liu-brooklyn-vs-st-peters-2017
Dec 16 2017, 7:00 PM, New York Islanders vs. Los Angeles Kings, https://www.barclayscenter.com/events/detail/new-york-islanders-vs-los-angeles-kings-2017-12-16
Dec 15 2017, 7:30 PM, ODESZA, https://www.barclayscenter.com/events/detail/odesza-2017
Dec 14 2017, 7:30 PM, Brooklyn Nets vs. New York Knicks, https://www.barclayscenter.com/events/detail/brooklyn-nets-vs-new-york-knicks-2017-12-14
